Mapped
id size density cross angleM angleD minAng edgeM edgeD minVertx finVertx devVertx minPtEdg
22 36 45.0 170 46.830091584718595 24.942761948132606 3.5117739863768445 0.7234591430270726 0.43456389044962007 0.5247940754010029 113.16363690023965 117.57164674487657 1.668136297459822E-4
23 34 39.0 67 54.84778680688438 24.334532294060413 4.702046106967675 0.45299876964350844 0.38997343619177777 0.29718153961398336 94.35432015648406 103.32050712250548 6.414700127195709E-4
24 39 44.0 80 61.8455456564172 19.477543633134253 8.530528654296901 0.43898998945578144 0.371961231820244 1.300423434164975 74.94684769667673 86.5206828470666 0.0027621695795240456
25 39 54.0 227 57.42270966279242 21.389617955139713 1.4946232958910102 0.6626743859768454 0.4232740052238664 1.5586007895193617 88.09984460769434 98.17883582927682 2.847362986463428E-4
26 40 54.0 269 52.59085067729428 22.80645007897159 5.514417754204761 0.6623842427302007 0.3486571609651424 0.15952629569548438 96.06345192048114 101.43270232548603 6.140840374773157E-4
27 43 65.0 466 56.00025344087272 21.617539416671253 0.3261155490097599 0.6790261282833709 0.36931266909194915 0.06446827487957525 99.01139565753411 108.59633059136777 2.0054579035576683E-6
28 35 34.0 60 55.007978586630514 23.588073201304017 2.1268972102871038 0.5141769499739813 0.3651097318539783 0.41354793947490204 72.7415001570024 78.4872796074414 7.890119650845532E-4
29 36 40.0 27 57.164378411379076 18.946392717592975 19.87806346788113 0.3322809420345274 0.25160373076477666 2.6282054258492726 51.69701730970781 48.89326036862204 0.0146767331586714
30 38 48.0 244 51.465595718360106 21.67071946346415 1.0295929004633 0.8047613512173027 0.40817826139130253 0.057951318471873646 89.54429246821543 100.88505721346377 3.861716255096754E-4
31 45 65.0 262 55.35188861453951 21.09369722846899 3.947053559912036 0.2930139600092581 0.18285282454345073 0.33153910172935075 98.26495589513536 108.60347980781529 8.212137007253455E-4
32 39 49.0 57 49.03139875188977 26.060662582693418 5.444875671204171 0.43843488182120316 0.4304723520682788 4.190865741747451 71.04160026480355 69.29954395725439 4.854833120081008E-4
33 35 46.0 211 47.27209902383916 23.030107189162553 2.623209378990134 0.5820816075309084 0.37821160983628266 3.4388641708939565 106.48911965506413 114.59833613827095 1.8927145289568086E-4
34 40 42.0 57 50.989427410969995 22.20173399477066 6.9130682026473425 0.36890909857588755 0.28979172544899456 1.0820854721579176 89.98547941441569 94.53953752834195 9.717217749586252E-6
35 39 48.0 207 52.24841123955694 22.26287560582364 1.5679508019546973 0.5180506889589381 0.30450807632651433 0.7712773027115493 87.85581563708543 98.01861323123632 3.7572657565768303E-4
36 48 69.0 34 67.19784445648837 18.871934037478155 7.697618138485179 0.2526188132480144 0.07401989634945833 4.746737833774729 51.60680171979527 49.106571855405946 3.7904179783551526E-4
37 42 50.0 11 44.119309327661064 28.17550170130344 6.855604192082086 0.2076109487070159 0.20057136049976726 2.4548206465379447 55.505703385095906 52.6969293133403 0.0038646341151877964
38 41 47.0 56 45.05806818349048 25.494845254266806 3.389990765257916 0.3467950190640883 0.3777855488514917 0.3233079408445215 76.79667452095053 77.32364740055824 4.074486081312448E-4
39 35 37.0 77 55.70722265766919 23.934211140491094 3.164219239583519 0.6922405361858394 0.422368153963691 1.091073079067687 104.847413986928 107.35476061234026 1.8327500280426964E-4
40 42 51.0 38 59.028538411223266 21.22486442851888 10.753262163114641 0.31996714753628464 0.2137768570284202 0.6604998949296489 65.1207850332256 63.00362272517443 0.0017446672694090208
41 33 32.0 48 52.5135040085352 23.544642824126747 3.1001501741728914 0.5182111903058783 0.34486047236812184 0.23047511847901195 105.42938172482809 110.50959599095295 5.849362604733122E-4
42 44 58.0 148 54.5812148448248 22.711424069486803 6.861713951587962 0.40101319704740135 0.2722353823811484 0.12177780013762471 88.41745557659189 92.73966876050403 2.446337414085679E-4
43 38 40.0 75 52.22206349618537 22.095061054512865 5.436856299841132 0.4431664794614167 0.3451710920345396 2.57808599554349 101.43547758320672 107.67583197157656 0.00360610363974008
44 38 44.0 75 43.22294779359745 23.60269951248094 2.6985874152501275 0.325709624427739 0.27845161640745414 2.692241495535741 75.32783004651424 81.29545434797697 0.002698655389411971
45 42 57.0 163 50.6878060142644 22.21105807482975 1.4778333179526195 0.3216216176641323 0.3249372009085486 0.13696795074751378 82.46303783756765 88.81213737208084 4.992793454414751E-4
46 47 63.0 138 55.89487591178328 21.60055854231963 6.281182346799392 0.4214300318873778 0.3210454485680337 0.8575783668639094 77.63680585346509 78.09851260147668 0.0035250379127716174
47 41 57.0 321 61.369534295959305 21.512540814613633 4.439165124498963 0.4149773799141385 0.23060446083341649 0.227041813853962 87.20633739674037 97.03565471677753 0.0015711935840301626
