SubID GraphID StartID EndID Path PathLength pCrossNo pAngMean pMinAng pContinu pGeode pGeode1 Response Time Effort YN
01 31 6 1 6-10-39-1 3 5 66.108 53.322 49.783 26.814 55.13514756886736 4 8904 4 0
01 27 21 0 21-16-9-5-0 4 3 62.218 49.708 97.609 57.107 139.66194507712058 4 3353 3 1
01 73 26 0 26-6-12-3-0 4 3 56.256 40.05 87.987 40.366 60.503005626153666 4 3146 2 1
01 7 12 2 12-5-19-29-2 4 0 90.0 90.0 1.736 2.46 3.606241766674862 4 4030 1 1
01 24 7 1 7-5-33-30-2-21-1 6 9 67.251 40.2 237.781 147.14 258.98052456411045 7 11124 5 0
01 2 16 0 16-12-5-0 3 0 90.0 90.0 53.13 24.849 22.366002714222155 3 2945 1 1
01 89 17 3 17-1-8-3 3 0 90.0 90.0 155.129 115.022 130.7368018145006 3 6205 3 1
01 40 7 0 7-4-1-0 3 3 75.817 65.726 166.193 124.991 175.03490674333082 3 1852 3 1
01 1 3 2 3-1-13-2 3 0 90.0 90.0 54.462 25.459 27.90708119467216 3 2626 2 1
01 63 11 6 11-5-29-6 3 0 90.0 90.0 129.502 63.988 70.86009104911076 3 2130 2 1
01 97 38 0 38-35-17-42-0 4 3 66.167 34.593 84.705 31.288 31.11249060817605 4 4909 2 1
01 4 14 0 14-12-2-13-8-0 5 0 90.0 90.0 84.547 205.7 412.1747772971994 5 3644 4 1
01 88 39 1 39-8-28-22-12-1 5 0 90.0 90.0 221.899 177.778 265.5142613957369 5 4377 1 1
01 21 37 0 37-24-33-28-0 4 11 65.956 29.315 166.235 72.786 196.96489952557724 4 48120 9 1
01 38 9 1 9-32-0-1 3 13 60.33 32.009 37.191 63.135 174.20261439772025 3 4812 3 1
01 66 3 1 3-34-0-1 3 2 81.012 73.869 111.581 63.277 65.53610207433869 3 3577 2 1
01 9 17 3 17-1-8-3 3 0 90.0 90.0 0.0 66.746 64.47589549428379 3 3280 1 1
01 55 30 0 30-21-41-0 3 8 67.828 31.78 66.882 28.226 49.00289008463652 3 15755 6 1
01 22 14 0 14-17-39-21-0 4 5 73.238 60.79 54.706 28.385 53.161093575347834 4 2740 3 1
01 87 12 2 12-5-19-29-2 4 1 44.074 44.074 102.949 104.747 236.63788941178228 4 6829 3 1
01 58 1 0 1-2-33-7-0 4 0 90.0 90.0 147.916 81.151 78.80661438152688 4 4260 2 1
02 6 14 0 14-5-2-8-17-0 5 0 90.0 90.0 45.0 66.379 220.80755684863223 5 4641 4 1
02 71 29 0 29-26-19-16-0 4 0 90.0 90.0 208.569 149.731 333.7958763103139 4 4180 3 1
02 84 12 0 12-2-13-8-0 4 1 83.224 83.224 151.749 139.258 196.44908339040242 4 5928 6 1
02 96 13 2 13-10-0-19-12-2 5 1 64.143 64.143 151.309 108.93 240.36278203858092 5 4837 5 1
02 39 13 0 13-14-15-34-0 4 1 82.698 82.698 109.296 82.754 122.12804121753987 4 3326 4 1
02 24 2 0 2-21-48-20-0 4 12 73.969 56.04 89.95 105.806 157.76972106169887 3 26203 8 0
02 65 0 2 0-9-10-16-8-2 5 10 56.816 41.189 116.626 158.328 718.1912013030454 5 5709 4 1
02 54 13 3 13-17-35-25-38-24-3 6 3 70.194 47.754 282.861 194.754 426.9205217913027 5 11645 4 0
02 55 1 0 1-33-41-0 3 8 64.547 41.376 147.258 79.352 137.98121576241735 4 11301 5 0
02 32 10 1 10-36-0-19-2-29-1 6 1 83.0 83.0 255.103 220.931 386.2355602338702 6 19356 7 1
02 44 28 0 28-39-21-12-8-32-0 6 6 80.038 48.561 191.282 224.952 241.9167796563766 6 14776 6 1
